url,walk_score,transit_score,bike_score
https://www.redfin.com/MO/Saint-Louis/2912-Iowa-Ave-63118/home/143288513,85.0,42.0,61.0
https://www.redfin.com/MO/Saint-Louis/4448-Maryland-Ave-63108/home/62754057,77.0,53.0,64.0
https://www.redfin.com/MO/Saint-Louis/3536-Victor-St-63104/home/93692413,84.0,42.0,75.0
https://www.redfin.com/MO/Saint-Louis/3859-Flora-Pl-63110/home/109920094,75.0,38.0,61.0
https://www.redfin.com/MO/Saint-Louis/4312-Washington-Blvd-63108/home/93683779,71.0,43.0,52.0
https://www.redfin.com/MO/Saint-Louis/5231-Westminster-Pl-63108/home/62725318,70.0,49.0,70.0
https://www.redfin.com/MO/Saint-Louis/5901-Highfield-Rd-63109/home/93782887,48.0,31.0,50.0
https://www.redfin.com/MO/Saint-Louis/3634-Flad-Ave-63110/home/93700189,80.0,38.0,74.0
https://www.redfin.com/MO/Saint-Louis/4167-Enright-Ave-63108/home/93745176,62.0,43.0,52.0
https://www.redfin.com/MO/Saint-Louis/2118-Lafayette-Ave-63104/home/62739077,84.0,40.0,66.0
https://www.redfin.com/MO/Saint-Louis/4550-Pershing-Pl-63108/home/93724616,87.0,44.0,61.0
https://www.redfin.com/MO/Saint-Louis/2656-January-Ave-63139/home/84307902,82.0,32.0,62.0
https://www.redfin.com/MO/Saint-Louis/3846-Flad-Ave-63110/home/93700319,76.0,37.0,67.0
https://www.redfin.com/MO/Saint-Louis/4137-McDonald-Ave-63116/home/93728835,62.0,40.0,57.0
https://www.redfin.com/MO/St-Louis/4101-W-Pine-Blvd-63108/unit-1-Benton/home/167145579,74.0,55.0,70.0
https://www.redfin.com/MO/St-Louis/215-N-Sarah-St-63108/unit-10-Monet/home/184905662,74.0,55.0,70.0
https://www.redfin.com/MO/Saint-Louis/53-Westmoreland-Pl-63108/home/93745453,63.0,52.0,79.0
https://www.redfin.com/MO/Saint-Louis/2404-S-11th-St-63104/home/93686741,87.0,40.0,59.0
https://www.redfin.com/MO/St-Louis/1027-Lami-St-63104/home/195978952,88.0,38.0,59.0
https://www.redfin.com/MO/Saint-Louis/5847-Holly-Hills-Ave-63109/home/93777677,72.0,33.0,53.0
https://www.redfin.com/MO/Saint-Louis/1010-Russell-Blvd-63104/home/93686253,88.0,38.0,61.0
https://www.redfin.com/MO/Saint-Louis/2819-Lafayette-Ave-63104/home/93700511,74.0,38.0,54.0
https://www.redfin.com/MO/Saint-Louis/4050-Shreve-Ave-63115/home/93733577,64.0,40.0,42.0
https://www.redfin.com/MO/Saint-Louis/4009-Burgen-Ave-63116/home/93771883,53.0,35.0,49.0
https://www.redfin.com/MO/Saint-Louis/5307-Shaw-Ave-63110/home/93726501,80.0,31.0,62.0
https://www.redfin.com/MO/Saint-Louis/4365-Forest-Park-Ave-63108/home/62735044,72.0,58.0,64.0
https://www.redfin.com/MO/Saint-Louis/1010-Allen-Ave-63104/home/169424102,88.0,38.0,61.0
https://www.redfin.com/MO/Saint-Louis/3137-Parc-Ridge-Ln-63139/home/93674343,69.0,32.0,64.0
https://www.redfin.com/MO/Saint-Louis/2848-McNair-Ave-63118/home/93691569,86.0,42.0,56.0
https://www.redfin.com/MO/Saint-Louis/3507-McKean-Ave-63118/home/93693020,88.0,46.0,74.0
https://www.redfin.com/MO/Saint-Louis/5099-Waterman-Blvd-63108/home/93745954,77.0,45.0,62.0
https://www.redfin.com/MO/Saint-Louis/8-Lewis-Pl-63113/home/62716012,63.0,43.0,51.0
https://www.redfin.com/MO/Saint-Louis/2342-Albion-Pl-63104/home/70078076,85.0,38.0,64.0
https://www.redfin.com/MO/Saint-Louis/1723-Waverly-Pl-63104/home/93690358,78.0,41.0,65.0
https://www.redfin.com/MO/Saint-Louis/2613-S-11th-St-63118/home/93686370,85.0,39.0,54.0
https://www.redfin.com/MO/Saint-Louis/2714-S-Jefferson-Ave-63118/home/93697448,85.0,41.0,63.0
https://www.redfin.com/MO/Saint-Louis/5156-Maple-Ave-63113/home/93752434,67.0,42.0,61.0
https://www.redfin.com/MO/Saint-Louis/210-Woodbourne-Dr-63105/home/93771918,49.0,46.0,71.0
https://www.redfin.com/MO/Saint-Louis/6025-Lindell-Blvd-63112/home/93763504,50.0,53.0,78.0
https://www.redfin.com/MO/Saint-Louis/3501-Victor-St-63104/home/62702344,84.0,42.0,77.0
https://www.redfin.com/MO/Saint-Louis/3904-Botanical-Ave-63110/home/62693530,74.0,40.0,71.0
https://www.redfin.com/MO/Saint-Louis/3802-Olive-St-63108/unit-12/home/176875148,68.0,51.0,64.0
https://www.redfin.com/MO/Saint-Louis/8460-Lowell-St-63147/home/93776011,50.0,43.0,50.0
https://www.redfin.com/MO/Saint-Louis/5335-Botanical-Ave-63110/home/93768175,85.0,34.0,54.0
https://www.redfin.com/MO/Saint-Louis/6141-McPherson-Ave-63112/home/93760398,78.0,56.0,76.0
https://www.redfin.com/MO/Saint-Louis/2703-Keokuk-St-63118/home/93696285,80.0,39.0,60.0
https://www.redfin.com/MO/Saint-Louis/2704-Utah-St-63118/home/93693846,92.0,43.0,55.0
https://www.redfin.com/MO/Saint-Louis/3448-Longfellow-Blvd-63104/home/93748649,73.0,39.0,73.0
https://www.redfin.com/MO/Saint-Louis/4668-Pershing-Pl-63108/home/93724629,88.0,44.0,62.0
https://www.redfin.com/MO/Saint-Louis/1216-S-Boyle-Ave-63110/home/93726645,88.0,53.0,76.0
https://www.redfin.com/MO/Saint-Louis/3809-Cleveland-Ave-63110/home/93700310,79.0,38.0,71.0
https://www.redfin.com/MO/Saint-Louis/22-Benton-Pl-63104/home/93701242,82.0,55.0,64.0
https://www.redfin.com/MO/Saint-Louis/3670-Flora-Pl-63110/home/93700277,76.0,38.0,67.0
https://www.redfin.com/MO/Saint-Louis/4416-Westminster-Pl-63108/home/93740238,77.0,44.0,61.0
https://www.redfin.com/MO/Saint-Louis/919-S-Skinker-Blvd-63105/home/93787385,73.0,36.0,81.0
https://www.redfin.com/MO/Saint-Louis/4660-Pershing-Pl-63108/home/62716690,88.0,44.0,62.0
https://www.redfin.com/MO/Saint-Louis/3217-Lafayette-Ave-63104/unit-3217/home/62745668,64.0,39.0,47.0
https://www.redfin.com/MO/Saint-Louis/3530-Magnolia-Ave-63118/home/93692362,84.0,43.0,79.0
https://www.redfin.com/MO/St-Louis/4101-W-Pine-Blvd-63108/unit-3-Picasso/home/167145581,74.0,55.0,70.0
https://www.redfin.com/MO/Saint-Louis/3306-S-9th-St-63118/home/109007348,70.0,39.0,46.0
https://www.redfin.com/MO/Saint-Louis/4925-Pershing-Pl-63108/home/93724384,87.0,44.0,60.0
https://www.redfin.com/MO/Saint-Louis/805-Allen-Ave-63104/home/93685716,91.0,37.0,64.0
https://www.redfin.com/MO/Saint-Louis/2336-Macklind-Ave-63110/home/93768176,85.0,34.0,54.0
https://www.redfin.com/MO/Saint-Louis/2910-Milton-Blvd-63104/home/93691197,82.0,42.0,63.0
https://www.redfin.com/MO/Saint-Louis/4246-Cleveland-Ave-63110/home/93746803,73.0,30.0,68.0
https://www.redfin.com/MO/Saint-Louis/4136-W-Pine-Blvd-63108/home/93725498,72.0,56.0,69.0
https://www.redfin.com/MO/Saint-Louis/2012-Saint-Louis-Ave-63106/home/93688191,68.0,43.0,59.0
https://www.redfin.com/MO/Saint-Louis/4349-Washington-Blvd-63108/home/103203274,69.0,43.0,55.0
https://www.redfin.com/MO/Saint-Louis/6317-Mardel-Ave-63109/home/62721277,82.0,39.0,67.0
