address,city,zip,property_type,sold_date,price,sqft,sqft_imputed,price_per_sqft,beds,baths,year_built,lot_size,days_on_market,lat,lon,url
4549 Westminster Pl,Saint Louis,63108.0,Single Family Residential,April-12-2024,400000,4170.0,False,95.92326139088729,8.0,5.0,1892.0,8281.0,,38.648166,-90.2570184,https://www.redfin.com/MO/Saint-Louis/4549-Westminster-Pl-63108/home/93739874
4330 W Pine Blvd,Saint Louis,63108.0,Single Family Residential,January-26-2023,650000,6000.0,False,108.33333333333333,6.0,5.0,1895.0,15194.0,,38.6394609,-90.2523047,https://www.redfin.com/MO/Saint-Louis/4330-W-Pine-Blvd-63108/home/93725149
4327 W Belle,Saint Louis,63108.0,Single Family Residential,May-16-2022,100000,3376.0,False,29.620853080568722,8.0,5.0,1891.0,4443.0,,38.6505185,-90.2470828,https://www.redfin.com/MO/Saint-Louis/4327-W-Belle-Pl-63108/home/93740086
3635 S Compton Ave,Saint Louis,63118.0,Single Family Residential,May-24-2022,249000,3894.0,False,63.94453004622496,8.0,5.0,1904.0,4792.0,,38.5900627,-90.2381172,https://www.redfin.com/MO/Saint-Louis/3635-S-Compton-Ave-63118/home/62773758
3522 Arsenal,Saint Louis,63118.0,Single Family Residential,December-13-2021,437000,3660.0,False,119.39890710382514,5.0,4.5,1903.0,4591.0,,38.6022945,-90.2409213,https://www.redfin.com/MO/Saint-Louis/3522-Arsenal-St-63118/home/62694250
5715 Chippewa St,Saint Louis,63109.0,Single Family Residential,August-22-2025,305000,1995.0,False,152.88220551378447,4.0,4.5,1937.0,4081.0,,38.5932266,-90.2897961,https://www.redfin.com/MO/Saint-Louis/5715-Chippewa-St-63109/home/93780996
3810 Botanical Ave,Saint Louis,63110.0,Single Family Residential,March-20-2024,575000,2920.0,False,196.91780821917808,4.0,4.5,1896.0,3942.0,,38.6088323,-90.2441402,https://www.redfin.com/MO/Saint-Louis/3810-Botanical-Ave-63110/home/93699823
3029 Saint Vincent Ave,Saint Louis,63104.0,Single Family Residential,November-29-2021,310000,2052.0,False,151.07212475633528,4.0,4.5,2002.0,7797.0,,38.6188664,-90.2299303,https://www.redfin.com/MO/Saint-Louis/3029-Saint-Vincent-Ave-63104/home/103204941
4468 Maryland Ave,Saint Louis,63108.0,Single Family Residential,November-12-2021,850000,3954.0,False,214.97218007081437,6.0,4.5,1896.0,7170.0,,38.6433851,-90.2563015,https://www.redfin.com/MO/Saint-Louis/4468-Maryland-Ave-63108/home/93724880
5076 Westminster Pl,Saint Louis,63108.0,Single Family Residential,July-10-2025,799000,5300.0,False,150.75471698113208,7.0,4.5,1906.0,9705.0,,38.6494678,-90.2667756,https://www.redfin.com/MO/Saint-Louis/5076-Westminster-Pl-63108/home/93746017
2331 Albion Pl,Saint Louis,63104.0,Single Family Residential,December-16-2024,650000,3720.0,False,174.7311827956989,5.0,4.5,1892.0,5654.0,,38.6170632,-90.2193544,https://www.redfin.com/MO/Saint-Louis/2331-Albion-Pl-63104/home/93700534
5519 Bartmer Ave,Saint Louis,63112.0,Single Family Residential,April-10-2024,589900,3520.0,False,167.58522727272728,6.0,4.5,1905.0,17389.0,,38.662346,-90.2773178,https://www.redfin.com/MO/Saint-Louis/5519-Bartmer-Ave-63112/home/93722354
6145 Lindell Blvd,Saint Louis,63112.0,Single Family Residential,August-23-2024,1099000,5166.0,False,212.73712737127371,4.0,4.5,1925.0,53143.0,,38.6478744,-90.2986716,https://www.redfin.com/MO/Saint-Louis/6145-Lindell-Blvd-63112/home/93763512
4220 Botanical Ave,Saint Louis,63110.0,Single Family Residential,November-19-2021,550000,3882.0,False,141.6795466254508,4.0,4.5,2019.0,3311.0,,38.6098843,-90.2555066,https://www.redfin.com/MO/Saint-Louis/4220-Botanical-Ave-63110/home/78372176
2822 Victor St,Saint Louis,63104.0,Single Family Residential,September-15-2025,469000,3200.0,False,146.5625,4.0,4.5,1900.0,3833.0,,38.6071809,-90.228155,https://www.redfin.com/MO/Saint-Louis/2822-Victor-St-63104/home/93699935
5103 Waterman Blvd,Saint Louis,63108.0,Single Family Residential,March-19-2026,574900,5412.0,False,106.2269031781227,5.0,4.5,1896.0,9252.0,,38.6488855,-90.2678089,https://www.redfin.com/MO/Saint-Louis/5103-Waterman-Blvd-63108/home/93745953
2107 Park Ave,Saint Louis,63104.0,Single Family Residential,July-5-2022,1265000,7122.0,False,177.61864644762707,6.0,4.5,1878.0,14070.0,,38.6180303,-90.2157599,https://www.redfin.com/MO/Saint-Louis/2107-Park-Ave-63104/home/93701253
3630 Flad Ave,Saint Louis,63110.0,Single Family Residential,December-4-2025,649000,2776.0,False,233.78962536023056,4.0,4.5,1894.0,5471.0,,38.6112491,-90.2417094,https://www.redfin.com/MO/Saint-Louis/3630-Flad-Ave-63110/home/93700186
2112 S 11th St,Saint Louis,63104.0,Single Family Residential,June-18-2026,649000,3974.0,False,163.31152491192753,5.0,4.5,2015.0,3689.0,,38.6068828,-90.2086918,https://www.redfin.com/MO/Saint-Louis/2112-S-11th-St-63104/home/62775653
5225 Lindell Blvd,Saint Louis,63108.0,Single Family Residential,July-18-2023,700000,5196.0,False,134.71901462663587,5.0,4.5,1904.0,20312.0,,38.6450408,-90.2718563,https://www.redfin.com/MO/Saint-Louis/5225-Lindell-Blvd-63108/home/93745428
4251 Connecticut St,Saint Louis,63116.0,Single Family Residential,August-22-2023,475000,3150.0,False,150.79365079365078,4.0,4.5,1891.0,2862.0,,38.6017153,-90.2601685,https://www.redfin.com/MO/Saint-Louis/4251-Connecticut-St-63116/home/93729851
3964 Arsenal St,Saint Louis,63116.0,Single Family Residential,December-5-2025,699000,2750.0,False,254.1818181818182,4.0,4.5,1911.0,3963.0,,38.6035247,-90.251906,https://www.redfin.com/MO/Saint-Louis/3964-Arsenal-St-63116/home/93749655
5277 Lindell Blvd,Saint Louis,63108.0,Single Family Residential,October-11-2022,1559000,6447.0,False,241.81789979835582,6.0,4.5,1913.0,20234.0,,38.6452756,-90.2735825,https://www.redfin.com/MO/Saint-Louis/5277-Lindell-Blvd-63108/home/93745464
5501 Cates Ave,Saint Louis,63112.0,Single Family Residential,June-24-2026,375000,4469.0,False,83.91138957261133,4.0,4.5,2009.0,8424.0,,38.6571895,-90.2786965,https://www.redfin.com/MO/Saint-Louis/5501-Cates-Ave-63112/home/143291150
2241 Hickory,Saint Louis,63104.0,Single Family Residential,November-6-2023,975000,4139.0,False,235.56414592896834,5.0,4.5,1921.0,4356.0,,38.620107,-90.216923,https://www.redfin.com/MO/Saint-Louis/2241-Hickory-St-63104/home/181866125
2305 Saint Louis Ave,Saint Louis,63106.0,Single Family Residential,February-28-2022,215000,6632.0,False,32.41857659831122,6.0,4.5,1887.0,12937.0,,38.6525214,-90.2073725,https://www.redfin.com/MO/Saint-Louis/2305-Saint-Louis-Ave-63106/home/62766774
8 Hortense Pl,Saint Louis,63108.0,Single Family Residential,June-3-2024,1475000,7583.0,False,194.51404457338785,6.0,4.5,1901.0,15769.0,,38.6474882,-90.2626277,https://www.redfin.com/MO/Saint-Louis/8-Hortense-Pl-63108/home/93724401
4101 W Pine Blvd #4,Saint Louis,63108.0,Single Family Residential,July-27-2023,1225000,3021.0,False,405.4948692485932,3.0,4.5,1921.0,,,38.6389383,-90.2466334,https://www.redfin.com/MO/Saint-Louis/4101-W-Pine-Blvd-63108/unit-4/home/169424934
4512 Pershing Pl,Saint Louis,63108.0,Townhouse,November-10-2025,750000,2561.0,False,292.85435376805935,4.0,4.5,1978.0,3380.0,,38.645184,-90.257627,https://www.redfin.com/MO/Saint-Louis/4512-Pershing-Pl-63108/home/93724622
3023 Bailey,Saint Louis,63107.0,Single Family Residential,March-4-2025,299000,2790.0,False,107.168458781362,4.0,4.5,1894.0,3598.0,,38.6626637,-90.213017,https://www.redfin.com/MO/Saint-Louis/3023-Bailey-Ave-63107/home/93698431
4506 Pershing Pl,Saint Louis,63108.0,Single Family Residential,June-9-2023,799000,2876.0,False,277.8164116828929,3.0,4.5,1978.0,3289.0,,38.64514,-90.257392,https://www.redfin.com/MO/Saint-Louis/4506-Pershing-Pl-63108/home/93724627
3801 Hartford St,Saint Louis,63116.0,Single Family Residential,November-23-2022,575000,2589.0,False,222.0934723831595,3.0,4.5,1897.0,6865.0,,38.6024249,-90.2463647,https://www.redfin.com/MO/Saint-Louis/3801-Hartford-St-63116/home/93728270
1000 Russell,Saint Louis,63104.0,Single Family Residential,September-1-2021,575000,3300.0,False,174.24242424242425,4.0,4.5,1885.0,4051.0,,38.6067266,-90.2067801,https://www.redfin.com/MO/Saint-Louis/1000-Russell-Blvd-63104/home/93686257
