url,police_district,patrol,violent_crime_ytd,total_crime_ytd,violent_crime_rate,total_crime_rate
https://www.redfin.com/MO/Saint-Louis/2319-Whittemore-Pl-63104/home/93700522,4,Central,349,1016,6.017241379310345,17.517241379310345
https://www.redfin.com/MO/Saint-Louis/2625-Ohio-Ave-63118/home/178428436,4,Central,349,1016,6.017241379310345,17.517241379310345
https://www.redfin.com/MO/Saint-Louis/5245-Washington-Pl-63108/home/93749456,3,Central,216,761,3.9272727272727272,13.836363636363636
https://www.redfin.com/MO/Saint-Louis/3524-Victor-St-63104/home/93692412,3,Central,216,761,3.9272727272727272,13.836363636363636
https://www.redfin.com/MO/Saint-Louis/2317-Park-Ave-63104/home/93701057,4,Central,349,1016,6.017241379310345,17.517241379310345
https://www.redfin.com/MO/St-Louis/2147-College-Ave-63107/home/194354353,4,Central,349,1016,6.017241379310345,17.517241379310345
https://www.redfin.com/MO/Saint-Louis/4467-McPherson-Ave-63108/home/93740227,3,Central,216,761,3.9272727272727272,13.836363636363636
https://www.redfin.com/MO/Saint-Louis/30-Portland-Pl-63108/home/93745960,3,Central,216,761,3.9272727272727272,13.836363636363636
https://www.redfin.com/MO/Saint-Louis/32-Washington-Ter-63112/home/93763739,3,Central,216,761,3.9272727272727272,13.836363636363636
https://www.redfin.com/MO/Saint-Louis/2912-Iowa-Ave-63118/home/143288513,4,Central,349,1016,6.017241379310345,17.517241379310345
https://www.redfin.com/MO/Saint-Louis/4448-Maryland-Ave-63108/home/62754057,3,Central,216,761,3.9272727272727272,13.836363636363636
https://www.redfin.com/MO/Saint-Louis/3536-Victor-St-63104/home/93692413,3,Central,216,761,3.9272727272727272,13.836363636363636
https://www.redfin.com/MO/Saint-Louis/3859-Flora-Pl-63110/home/109920094,3,Central,216,761,3.9272727272727272,13.836363636363636
https://www.redfin.com/MO/Saint-Louis/4312-Washington-Blvd-63108/home/93683779,3,Central,216,761,3.9272727272727272,13.836363636363636
https://www.redfin.com/MO/Saint-Louis/5231-Westminster-Pl-63108/home/62725318,3,Central,216,761,3.9272727272727272,13.836363636363636
https://www.redfin.com/MO/Saint-Louis/5901-Highfield-Rd-63109/home/93782887,1,South,197,781,3.7884615384615383,15.019230769230768
https://www.redfin.com/MO/Saint-Louis/3634-Flad-Ave-63110/home/93700189,3,Central,216,761,3.9272727272727272,13.836363636363636
https://www.redfin.com/MO/Saint-Louis/4167-Enright-Ave-63108/home/93745176,3,Central,216,761,3.9272727272727272,13.836363636363636
https://www.redfin.com/MO/Saint-Louis/2118-Lafayette-Ave-63104/home/62739077,4,Central,349,1016,6.017241379310345,17.517241379310345
