url,dist_nearest_school_m,schools_1km
https://www.redfin.com/MO/Saint-Louis/2656-January-Ave-63139/home/84307902,740.6068940038087,3
https://www.redfin.com/MO/Saint-Louis/3846-Flad-Ave-63110/home/93700319,493.5989637703369,4
https://www.redfin.com/MO/Saint-Louis/4137-McDonald-Ave-63116/home/93728835,282.90274981616074,2
https://www.redfin.com/MO/St-Louis/4101-W-Pine-Blvd-63108/unit-1-Benton/home/167145579,366.04166691745274,5
https://www.redfin.com/MO/St-Louis/215-N-Sarah-St-63108/unit-10-Monet/home/184905662,391.78554710992034,5
https://www.redfin.com/MO/Saint-Louis/53-Westmoreland-Pl-63108/home/93745453,483.43503321336203,1
https://www.redfin.com/MO/Saint-Louis/2404-S-11th-St-63104/home/93686741,433.51946796258846,1
https://www.redfin.com/MO/St-Louis/1027-Lami-St-63104/home/195978952,465.39261583302084,1
https://www.redfin.com/MO/Saint-Louis/5847-Holly-Hills-Ave-63109/home/93777677,104.75815249828187,2
https://www.redfin.com/MO/Saint-Louis/1010-Russell-Blvd-63104/home/93686253,781.3512430413747,1
https://www.redfin.com/MO/Saint-Louis/2819-Lafayette-Ave-63104/home/93700511,201.38347388477916,2
https://www.redfin.com/MO/Saint-Louis/4050-Shreve-Ave-63115/home/93733577,932.2383671965599,1
https://www.redfin.com/MO/Saint-Louis/4009-Burgen-Ave-63116/home/93771883,698.1733755561759,1
https://www.redfin.com/MO/Saint-Louis/5307-Shaw-Ave-63110/home/93726501,708.343830926066,2
https://www.redfin.com/MO/Saint-Louis/4365-Forest-Park-Ave-63108/home/62735044,582.8927811431299,6
https://www.redfin.com/MO/Saint-Louis/1010-Allen-Ave-63104/home/169424102,914.75221933993,1
https://www.redfin.com/MO/Saint-Louis/3137-Parc-Ridge-Ln-63139/home/93674343,830.8609049146562,3
https://www.redfin.com/MO/Saint-Louis/2848-McNair-Ave-63118/home/93691569,851.0669025469332,1
https://www.redfin.com/MO/Saint-Louis/3507-McKean-Ave-63118/home/93693020,688.3909519496389,1
https://www.redfin.com/MO/Saint-Louis/5099-Waterman-Blvd-63108/home/93745954,388.42373018066667,2
https://www.redfin.com/MO/Saint-Louis/8-Lewis-Pl-63113/home/62716012,380.40439833926183,4
https://www.redfin.com/MO/Saint-Louis/2342-Albion-Pl-63104/home/70078076,541.7032321560359,5
https://www.redfin.com/MO/Saint-Louis/1723-Waverly-Pl-63104/home/93690358,379.5515466945217,6
https://www.redfin.com/MO/Saint-Louis/2613-S-11th-St-63118/home/93686370,458.6206530361604,1
https://www.redfin.com/MO/Saint-Louis/2714-S-Jefferson-Ave-63118/home/93697448,363.46467919068704,3
https://www.redfin.com/MO/Saint-Louis/5156-Maple-Ave-63113/home/93752434,781.9989667166351,1
https://www.redfin.com/MO/Saint-Louis/210-Woodbourne-Dr-63105/home/93771918,311.0774093023733,3
https://www.redfin.com/MO/Saint-Louis/6025-Lindell-Blvd-63112/home/93763504,800.3912644037084,2
https://www.redfin.com/MO/Saint-Louis/3501-Victor-St-63104/home/62702344,216.73229981589307,3
https://www.redfin.com/MO/Saint-Louis/3904-Botanical-Ave-63110/home/62693530,242.30002514832483,2
https://www.redfin.com/MO/Saint-Louis/3802-Olive-St-63108/unit-12/home/176875148,275.186595223437,12
https://www.redfin.com/MO/Saint-Louis/8460-Lowell-St-63147/home/93776011,1637.4074281244432,0
https://www.redfin.com/MO/Saint-Louis/5335-Botanical-Ave-63110/home/93768175,125.734134077373,1
https://www.redfin.com/MO/Saint-Louis/6141-McPherson-Ave-63112/home/93760398,550.2991377383423,3
https://www.redfin.com/MO/Saint-Louis/2703-Keokuk-St-63118/home/93696285,472.1424632050098,5
https://www.redfin.com/MO/Saint-Louis/2704-Utah-St-63118/home/93693846,1055.7844471485096,0
https://www.redfin.com/MO/Saint-Louis/3448-Longfellow-Blvd-63104/home/93748649,361.64809160298466,3
https://www.redfin.com/MO/Saint-Louis/4668-Pershing-Pl-63108/home/93724629,807.4222109791256,4
https://www.redfin.com/MO/Saint-Louis/1216-S-Boyle-Ave-63110/home/93726645,340.19219675809336,4
https://www.redfin.com/MO/Saint-Louis/3809-Cleveland-Ave-63110/home/93700310,423.35527741382685,4
https://www.redfin.com/MO/Saint-Louis/22-Benton-Pl-63104/home/93701242,767.9960376668553,3
https://www.redfin.com/MO/Saint-Louis/3670-Flora-Pl-63110/home/93700277,567.0188163582527,4
https://www.redfin.com/MO/Saint-Louis/4416-Westminster-Pl-63108/home/93740238,309.3189546085907,3
https://www.redfin.com/MO/Saint-Louis/919-S-Skinker-Blvd-63105/home/93787385,627.4634982797426,2
https://www.redfin.com/MO/Saint-Louis/4660-Pershing-Pl-63108/home/62716690,773.9863832572315,5
https://www.redfin.com/MO/Saint-Louis/3217-Lafayette-Ave-63104/unit-3217/home/62745668,628.378016654673,3
https://www.redfin.com/MO/Saint-Louis/3530-Magnolia-Ave-63118/home/93692362,567.9351851022692,3
https://www.redfin.com/MO/St-Louis/4101-W-Pine-Blvd-63108/unit-3-Picasso/home/167145581,366.04166691745274,5
https://www.redfin.com/MO/Saint-Louis/3306-S-9th-St-63118/home/109007348,1310.0619935075274,0
https://www.redfin.com/MO/Saint-Louis/4925-Pershing-Pl-63108/home/93724384,759.1926696223419,3
https://www.redfin.com/MO/Saint-Louis/805-Allen-Ave-63104/home/93685716,939.1153612409511,1
https://www.redfin.com/MO/Saint-Louis/2336-Macklind-Ave-63110/home/93768176,143.98139768672357,1
https://www.redfin.com/MO/Saint-Louis/2910-Milton-Blvd-63104/home/93691197,723.0900927173104,4
https://www.redfin.com/MO/Saint-Louis/4246-Cleveland-Ave-63110/home/93746803,372.25992789770373,3
https://www.redfin.com/MO/Saint-Louis/4136-W-Pine-Blvd-63108/home/93725498,232.56355941429618,5
https://www.redfin.com/MO/Saint-Louis/2012-Saint-Louis-Ave-63106/home/93688191,878.2067454078708,3
https://www.redfin.com/MO/Saint-Louis/4349-Washington-Blvd-63108/home/103203274,520.4521390991017,5
https://www.redfin.com/MO/Saint-Louis/6317-Mardel-Ave-63109/home/62721277,389.9936081611129,2
https://www.redfin.com/MO/Saint-Louis/4363-McPherson-Ave-63108/home/93740332,318.982141155113,3
https://www.redfin.com/MO/Saint-Louis/1-Lenox-Pl-63108/home/93754478,517.3656226737327,4
https://www.redfin.com/MO/Saint-Louis/1202-Sidney-St-63104/home/62757286,571.0002772430987,1
https://www.redfin.com/MO/Saint-Louis/3235-S-Jefferson-Ave-63118/home/93694229,1101.2366732424912,0
https://www.redfin.com/MO/Saint-Louis/6142-Kingsbury-Ave-63112/home/93760370,525.7833552448983,4
https://www.redfin.com/MO/Saint-Louis/6151-Westminster-Pl-63112/home/93760453,546.8505433274871,4
